ID,Input,Output,Food Bank Name
,"Second,Saturday,8:30am,10:30am,,,Walk Up","Saturday,8:30,10:30,,,,,Walk Up,2,,Week of Month",Food Bank of Santa Barbara County
,"First,Saturday,8am,10:30am,,,Drive Thru and Walk up","Saturday,8:00,10:30,,,,,Drive Thru and Walk up,1,,Week of Month",Food Bank of Santa Barbara County
,"Third,Saturday,8am,10:30am,,,Drive Thru and Walk up","Saturday,8:00,10:30,,,,,Drive Thru and Walk up,3,,Week of Month",Food Bank of Santa Barbara County
,"Fourth,Wednesday,,,3pm,4:30pm,Walk Up","Wednesday,15:00,16:30,,,,,Walk Up,4,,Week of Month",Food Bank of Santa Barbara County
,"First,Monday,,,3pm,5pm,Walk Up","Monday,15:00,17:00,,,,,Walk Up,1,,Week of Month",Food Bank of Santa Barbara County
,"Last,Wednesday,9am,10am,,,Walk Up","Wednesday,9:00,10:00,,,,,Last of Month (4th or 5th),4,,Week of Month",Food Bank of Santa Barbara County
,"Third,Saturday,8:30am,10:30am,,,Drive Thru and Walk up","Saturday,8:30,10:30,,,,,Drive Thru and Walk up,3,,Week of Month",Food Bank of Santa Barbara County
,"Second,Saturday,8:30am,10:30am,,,Drive Thru and Walk up","Saturday,8:30,10:30,,,,,Drive Thru and Walk up,2,,Week of Month",Food Bank of Santa Barbara County
,"3:30-5:30 pm,1st Thursday,N/A,Ongoing","Thursday,15:30,17:30,,,,,,,1,Day of Month,,,",Food Bank of Santa Barbara County
,"4-6pm ,3rd or 4th Thursday,Ongoing","Thursday,16:00,18:00,,,,,,,,Weekly,,,",Food Bank of Santa Barbara County
,"4-6pm ,4th Tuesday,Ongoing","Tuesday,16:00,18:00,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"830-1030am,Last Saturday ,Ongoing","Saturday,8:30,10:30,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30-5:30PM ,3rd Tuesday,Ongoing","Tuesday,15:30,17:30,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30pm,2nd or 3rd Monday,Ongoing","Monday,15:30,17:30,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30pm,3rd Wednesday,,Ongoing","Wednesday,15:30,17:30,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"2pm,2nd Monday,,Ongoing","Monday,14:00,16:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"8:30-11:30 am,1st and 3rd Wednesday of the Month ,N/A,Ongoing","Wednesday,8:30,11:30,,,,,,,1,Day of Month,,,;Wednesday,8:30,11:30,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"9:00-10:00 am,2nd and 4th Thursday,N/A,Ongoing","Thursday,9:00,10:00,,,,,,,2,Day of Month,,,;Thursday,9:00,10:00,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"10AM-11AM,4th Wednesday,Ongoing","Wednesday,10:00,11:00,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"9:00-10:00 am,2nd and 4th Wednesday,N/A,Ongoing","Wednesday,9:00,10:00,,,,,,,2,Day of Month,,,;Wednesday,9:00,10:00,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"11am-12pm,2nd & 4th Tuesday,","Tuesday,11:00,12:00,,,,,,,2,Day of Month,,,;Tuesday,11:00,12:00,,,,,,,4,Day of Month,,,",Food Bank of Santa Barbara County
,"3:45-4:45pm,3rd Friday (Lesson- 3rd Thursday 3:45-4:45pm),","Thursday,15:45,16:45,,,,,Lesson,,3,Day of Month,,,;Friday,15:45,16:45,,,,,,,3,Day of Month,,,",Food Bank of Santa Barbara County
,"3rd Thursday 3:15-4:15pm ,3rd Friday -  3:15-4:30pm ","Monday,15:00,17:00,,,,,Walk Up,1,,Week of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30PM,2nd Wednesday","Wednesday,15:30,16:30,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"3-4pm,2nd Wednesday,","Wednesday,15:00,16:00,,,,,,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30PM,2nd Wednesday,Oct-22,May-23","Wednesday,15:30,16:30,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
,"3:30-4:30PM,2nd Wednesday,Oct-22,May-23","Wednesday,15:30,16:30,,,,,October through May Only,,2,Day of Month,,,",Food Bank of Santa Barbara County
